y_grad,unit,sex,age,geo,year,value
Total,Percentage,Total,From 55 to 64 years,Turkey,2006,0
Total,Percentage,Total,From 55 to 64 years,United States,2009,26.01
Total,Percentage,Total,From 55 to 64 years,United States,2006,26.18
Total,Percentage,Total,From 65 to 69 years,Bulgaria,2009,12.28
Total,Percentage,Total,From 65 to 69 years,Bulgaria,2006,15.22
Total,Percentage,Total,From 65 to 69 years,Switzerland,2009,6.49
Total,Percentage,Total,From 65 to 69 years,Switzerland,2006,5.01
Total,Percentage,Total,From 65 to 69 years,Cyprus,2009,0
Total,Percentage,Total,From 65 to 69 years,Cyprus,2006,4.81
Total,Percentage,Total,From 65 to 69 years,Germany (until 1990 former territory of the FRG),2009,23.84
Total,Percentage,Total,From 65 to 69 years,Germany (until 1990 former territory of the FRG),2006,0
Total,Percentage,Total,From 65 to 69 years,Denmark,2009,1.54
Total,Percentage,Total,From 65 to 69 years,Denmark,2006,0
Total,Percentage,Total,From 65 to 69 years,Estonia,2009,0
Total,Percentage,Total,From 65 to 69 years,Estonia,2006,9.52
Total,Percentage,Total,From 65 to 69 years,Finland,2009,7.03
Total,Percentage,Total,From 65 to 69 years,Finland,2006,5.39
Total,Percentage,Total,From 65 to 69 years,Croatia,2009,9.04
Total,Percentage,Total,From 65 to 69 years,Croatia,2006,13.06
Total,Percentage,Total,From 65 to 69 years,Hungary,2009,6.41
Total,Percentage,Total,From 65 to 69 years,Hungary,2006,0
Total,Percentage,Total,From 65 to 69 years,Israel,2009,10.72
Total,Percentage,Total,From 65 to 69 years,Israel,2006,0
Total,Percentage,Total,From 65 to 69 years,Iceland,2009,7.78
Total,Percentage,Total,From 65 to 69 years,Iceland,2006,4.83
Total,Percentage,Total,From 65 to 69 years,Lithuania,2009,11.01
Total,Percentage,Total,From 65 to 69 years,Lithuania,2006,16.63
Total,Percentage,Total,From 65 to 69 years,Latvia,2009,17.71
Total,Percentage,Total,From 65 to 69 years,Latvia,2006,19.32
Total,Percentage,Total,From 65 to 69 years,Malta,2009,11.62
Total,Percentage,Total,From 65 to 69 years,Malta,2006,0
Total,Percentage,Total,From 65 to 69 years,Netherlands,2009,0
Total,Percentage,Total,From 65 to 69 years,Netherlands,2006,3.75
Total,Percentage,Total,From 65 to 69 years,Norway,2009,5.74
Total,Percentage,Total,From 65 to 69 years,Norway,2006,4.36
Total,Percentage,Total,From 65 to 69 years,Poland,2009,1.4
Total,Percentage,Total,From 65 to 69 years,Poland,2006,0
Total,Percentage,Total,From 65 to 69 years,Portugal,2009,0.37
Total,Percentage,Total,From 65 to 69 years,Portugal,2006,3.81
Total,Percentage,Total,From 65 to 69 years,Russia,2009,11.36
Total,Percentage,Total,From 65 to 69 years,Russia,2006,0
Total,Percentage,Total,From 65 to 69 years,Sweden,2009,10.01
Total,Percentage,Total,From 65 to 69 years,Sweden,2006,8.46
Total,Percentage,Total,From 65 to 69 years,Slovenia,2009,6.38
Total,Percentage,Total,From 65 to 69 years,Slovenia,2006,0
Total,Percentage,Total,From 65 to 69 years,Turkey,2009,3.56
Total,Percentage,Total,From 65 to 69 years,Turkey,2006,0
Total,Percentage,Total,From 65 to 69 years,United States,2009,10.31
Total,Percentage,Total,From 65 to 69 years,United States,2006,8.44
Total,Percentage,Total,70 years or over,Switzerland,2009,0
Total,Percentage,Total,70 years or over,Switzerland,2006,11.72
Total,Percentage,Total,70 years or over,Denmark,2009,0
Total,Percentage,Total,70 years or over,Denmark,2006,0
Total,Percentage,Total,70 years or over,Estonia,2009,0
Total,Percentage,Total,70 years or over,Estonia,2006,0
Total,Percentage,Total,70 years or over,Finland,2009,0
Total,Percentage,Total,70 years or over,Finland,2006,6.33
Total,Percentage,Total,70 years or over,Iceland,2009,0
Total,Percentage,Total,70 years or over,Iceland,2006,0.4
Total,Percentage,Total,70 years or over,Netherlands,2009,0
Total,Percentage,Total,70 years or over,Netherlands,2006,10
Total,Percentage,Total,70 years or over,Norway,2009,0
Total,Percentage,Total,70 years or over,Norway,2006,1.78
Total,Percentage,Total,70 years or over,United States,2009,0
Total,Percentage,Total,70 years or over,United States,2006,1.17
Total,Percentage,Total,Less than 35 years,Bulgaria,2009,9.63
Total,Percentage,Total,Less than 35 years,Bulgaria,2006,6.01
Total,Percentage,Total,Less than 35 years,Switzerland,2009,18.76
Total,Percentage,Total,Less than 35 years,Switzerland,2006,14.36
Total,Percentage,Total,Less than 35 years,Cyprus,2009,0
Total,Percentage,Total,Less than 35 years,Cyprus,2006,12.59
Total,Percentage,Total,Less than 35 years,Germany (until 1990 former territory of the FRG),2009,10.79
Total,Percentage,Total,Less than 35 years,Germany (until 1990 former territory of the FRG),2006,0
Total,Percentage,Total,Less than 35 years,Denmark,2009,12.14
Total,Percentage,Total,Less than 35 years,Denmark,2006,58.74
Total,Percentage,Total,Less than 35 years,Estonia,2009,0
Total,Percentage,Total,Less than 35 years,Estonia,2006,11.45
Total,Percentage,Total,Less than 35 years,Finland,2009,11.48
Total,Percentage,Total,Less than 35 years,Finland,2006,10.4
Total,Percentage,Total,Less than 35 years,Croatia,2009,9.9
Total,Percentage,Total,Less than 35 years,Croatia,2006,6.68
Total,Percentage,Total,Less than 35 years,Hungary,2009,15.7
Total,Percentage,Total,Less than 35 years,Hungary,2006,0
Total,Percentage,Total,Less than 35 years,Israel,2009,5.03
Total,Percentage,Total,Less than 35 years,Israel,2006,0
Total,Percentage,Total,Less than 35 years,Iceland,2009,4.32
Total,Percentage,Total,Less than 35 years,Iceland,2006,7.73
Total,Percentage,Total,Less than 35 years,Lithuania,2009,11.32
Total,Percentage,Total,Less than 35 years,Lithuania,2006,12.35
Total,Percentage,Total,Less than 35 years,Latvia,2009,8.49
Total,Percentage,Total,Less than 35 years,Latvia,2006,6.91
Total,Percentage,Total,Less than 35 years,Malta,2009,8.12
Total,Percentage,Total,Less than 35 years,Malta,2006,0
Total,Percentage,Total,Less than 35 years,Netherlands,2009,0
Total,Percentage,Total,Less than 35 years,Netherlands,2006,16.25
Total,Percentage,Total,Less than 35 years,Norway,2009,10.63
Total,Percentage,Total,Less than 35 years,Norway,2006,13.87
Total,Percentage,Total,Less than 35 years,Poland,2009,35.77
Total,Percentage,Total,Less than 35 years,Poland,2006,0
Total,Percentage,Total,Less than 35 years,Portugal,2009,48.03
Total,Percentage,Total,Less than 35 years,Portugal,2006,7.95
Total,Percentage,Total,Less than 35 years,Russia,2009,16.73
Total,Percentage,Total,Less than 35 years,Russia,2006,0
Total,Percentage,Total,Less than 35 years,Sweden,2009,12.36
Total,Percentage,Total,Less than 35 years,Sweden,2006,13.42
Total,Percentage,Total,Less than 35 years,Slovenia,2009,17.89
Total,Percentage,Total,Less than 35 years,Slovenia,2006,0
Total,Percentage,Total,Less than 35 years,Turkey,2009,13.65
Total,Percentage,Total,Less than 35 years,Turkey,2006,0
Total,Percentage,Total,Less than 35 years,United States,2009,10.95
Total,Percentage,Total,Less than 35 years,United States,2006,10.28
Total,Percentage,Unknown,Total,Bulgaria,2009,0
Total,Percentage,Unknown,Total,Bulgaria,2006,0
Total,Percentage,Unknown,Total,Germany (until 1990 former territory of the FRG),2009,0
Total,Percentage,Unknown,Total,Germany (until 1990 former territory of the FRG),2006,0
Total,Percentage,Unknown,Total,Iceland,2009,0.29
Total,Percentage,Unknown,Total,Iceland,2006,0
Total,Percentage,Unknown,Total,Lithuania,2009,0
Total,Percentage,Unknown,Total,Lithuania,2006,0
Total,Percentage,Unknown,Total,Norway,2009,0
Total,Percentage,Unknown,Total,Norway,2006,0
Total,Percentage,Unknown,Total,Poland,2009,0
Total,Percentage,Unknown,Total,Poland,2006,0
Total,Percentage,Unknown,Total,Portugal,2009,0
Total,Percentage,Unknown,Total,Portugal,2006,0
Total,Percentage,Unknown,Total,Russia,2009,0
Total,Percentage,Unknown,Total,Russia,2006,0
Total,Percentage,Unknown,Unknown,Bulgaria,2009,0
Total,Percentage,Unknown,Unknown,Bulgaria,2006,0
Total,Percentage,Unknown,Unknown,Germany (until 1990 former territory of the FRG),2009,0
Total,Percentage,Unknown,Unknown,Germany (until 1990 former territory of the FRG),2006,0
Total,Percentage,Unknown,Unknown,Lithuania,2009,0
Total,Percentage,Unknown,Unknown,Lithuania,2006,0
Total,Percentage,Unknown,Unknown,Norway,2009,0
Total,Percentage,Unknown,Unknown,Norway,2006,0
Total,Percentage,Unknown,Unknown,Poland,2009,0
Total,Percentage,Unknown,Unknown,Poland,2006,0
Total,Percentage,Unknown,Unknown,Portugal,2009,0
Total,Percentage,Unknown,Unknown,Portugal,2006,0
Total,Percentage,Unknown,Unknown,Russia,2009,0
Total,Percentage,Unknown,Unknown,Russia,2006,0
Total,Percentage,Unknown,From 35 to 44 years,Bulgaria,2009,0
Total,Percentage,Unknown,From 35 to 44 years,Bulgaria,2006,0
Total,Percentage,Unknown,From 35 to 44 years,Germany (until 1990 former territory of the FRG),2009,0
Total,Percentage,Unknown,From 35 to 44 years,Germany (until 1990 former territory of the FRG),2006,0
Total,Percentage,Unknown,From 35 to 44 years,Israel,2009,0
Total,Percentage,Unknown,From 35 to 44 years,Israel,2006,0
Total,Percentage,Unknown,From 35 to 44 years,Lithuania,2009,0
Total,Percentage,Unknown,From 35 to 44 years,Lithuania,2006,0
Total,Percentage,Unknown,From 35 to 44 years,Norway,2009,0
Total,Percentage,Unknown,From 35 to 44 years,Norway,2006,0
Total,Percentage,Unknown,From 35 to 44 years,Poland,2009,0
Total,Percentage,Unknown,From 35 to 44 years,Poland,2006,0
Total,Percentage,Unknown,From 35 to 44 years,Portugal,2009,0
Total,Percentage,Unknown,From 35 to 44 years,Portugal,2006,0
Total,Percentage,Unknown,From 35 to 44 years,Russia,2009,0
Total,Percentage,Unknown,From 35 to 44 years,Russia,2006,0
Total,Percentage,Unknown,From 45 to 54 years,Bulgaria,2009,0
Total,Percentage,Unknown,From 45 to 54 years,Bulgaria,2006,0
Total,Percentage,Unknown,From 45 to 54 years,Germany (until 1990 former territory of the FRG),2009,0
Total,Percentage,Unknown,From 45 to 54 years,Germany (until 1990 former territory of the FRG),2006,0
Total,Percentage,Unknown,From 45 to 54 years,Israel,2009,0
Total,Percentage,Unknown,From 45 to 54 years,Israel,2006,0
Total,Percentage,Unknown,From 45 to 54 years,Lithuania,2009,0
Total,Percentage,Unknown,From 45 to 54 years,Lithuania,2006,0
Total,Percentage,Unknown,From 45 to 54 years,Norway,2009,0
Total,Percentage,Unknown,From 45 to 54 years,Norway,2006,0
Total,Percentage,Unknown,From 45 to 54 years,Poland,2009,0
Total,Percentage,Unknown,From 45 to 54 years,Poland,2006,0
Total,Percentage,Unknown,From 45 to 54 years,Portugal,2009,0
Total,Percentage,Unknown,From 45 to 54 years,Portugal,2006,0
Total,Percentage,Unknown,From 45 to 54 years,Russia,2009,0
Total,Percentage,Unknown,From 45 to 54 years,Russia,2006,0
Total,Percentage,Unknown,From 55 to 64 years,Bulgaria,2009,0
Total,Percentage,Unknown,From 55 to 64 years,Bulgaria,2006,0
Total,Percentage,Unknown,From 55 to 64 years,Germany (until 1990 former territory of the FRG),2009,0
Total,Percentage,Unknown,From 55 to 64 years,Germany (until 1990 former territory of the FRG),2006,0
Total,Percentage,Unknown,From 55 to 64 years,Israel,2009,0
Total,Percentage,Unknown,From 55 to 64 years,Israel,2006,0
Total,Percentage,Unknown,From 55 to 64 years,Iceland,2009,0.29
Total,Percentage,Unknown,From 55 to 64 years,Iceland,2006,0
Total,Percentage,Unknown,From 55 to 64 years,Lithuania,2009,0
Total,Percentage,Unknown,From 55 to 64 years,Lithuania,2006,0
Total,Percentage,Unknown,From 55 to 64 years,Norway,2009,0
Total,Percentage,Unknown,From 55 to 64 years,Norway,2006,0
Total,Percentage,Unknown,From 55 to 64 years,Poland,2009,0
Total,Percentage,Unknown,From 55 to 64 years,Poland,2006,0
Total,Percentage,Unknown,From 55 to 64 years,Portugal,2009,0
Total,Percentage,Unknown,From 55 to 64 years,Portugal,2006,0
Total,Percentage,Unknown,From 55 to 64 years,Russia,2009,0
Total,Percentage,Unknown,From 55 to 64 years,Russia,2006,0
Total,Percentage,Unknown,From 65 to 69 years,Bulgaria,2009,0
Total,Percentage,Unknown,From 65 to 69 years,Bulgaria,2006,0
Total,Percentage,Unknown,From 65 to 69 years,Germany (until 1990 former territory of the FRG),2009,0
Total,Percentage,Unknown,From 65 to 69 years,Germany (until 1990 former territory of the FRG),2006,0
Total,Percentage,Unknown,From 65 to 69 years,Israel,2009,0
Total,Percentage,Unknown,From 65 to 69 years,Israel,2006,0
Total,Percentage,Unknown,From 65 to 69 years,Lithuania,2009,0
Total,Percentage,Unknown,From 65 to 69 years,Lithuania,2006,0
Total,Percentage,Unknown,From 65 to 69 years,Norway,2009,0
Total,Percentage,Unknown,From 65 to 69 years,Norway,2006,0
Total,Percentage,Unknown,From 65 to 69 years,Poland,2009,0
Total,Percentage,Unknown,From 65 to 69 years,Poland,2006,0
Total,Percentage,Unknown,From 65 to 69 years,Portugal,2009,0
Total,Percentage,Unknown,From 65 to 69 years,Portugal,2006,0
Total,Percentage,Unknown,From 65 to 69 years,Russia,2009,0
Total,Percentage,Unknown,From 65 to 69 years,Russia,2006,0
Total,Percentage,Unknown,Less than 35 years,Bulgaria,2009,0
Total,Percentage,Unknown,Less than 35 years,Bulgaria,2006,0
Total,Percentage,Unknown,Less than 35 years,Germany (until 1990 former territory of the FRG),2009,0
Total,Percentage,Unknown,Less than 35 years,Germany (until 1990 former territory of the FRG),2006,0
Total,Percentage,Unknown,Less than 35 years,Israel,2009,0
Total,Percentage,Unknown,Less than 35 years,Israel,2006,0
Total,Percentage,Unknown,Less than 35 years,Lithuania,2009,0
Total,Percentage,Unknown,Less than 35 years,Lithuania,2006,0
Total,Percentage,Unknown,Less than 35 years,Norway,2009,0
Total,Percentage,Unknown,Less than 35 years,Norway,2006,0
Total,Percentage,Unknown,Less than 35 years,Poland,2009,0
Total,Percentage,Unknown,Less than 35 years,Poland,2006,0
Total,Percentage,Unknown,Less than 35 years,Portugal,2009,0
Total,Percentage,Unknown,Less than 35 years,Portugal,2006,0
Total,Percentage,Unknown,Less than 35 years,Russia,2009,0
Total,Percentage,Unknown,Less than 35 years,Russia,2006,0
1990 and after,Number,Females,Total,Austria,2009,0
1990 and after,Number,Females,Total,Austria,2006,8835
1990 and after,Number,Females,Total,Belgium,2009,1668
1990 and after,Number,Females,Total,Belgium,2006,0
1990 and after,Number,Females,Total,Bulgaria,2009,0
1990 and after,Number,Females,Total,Bulgaria,2006,3315
1990 and after,Number,Females,Total,Switzerland,2009,28682
1990 and after,Number,Females,Total,Switzerland,2006,22225
1990 and after,Number,Females,Total,Cyprus,2009,0
1990 and after,Number,Females,Total,Cyprus,2006,392
1990 and after,Number,Females,Total,Germany (until 1990 former territory of the FRG),2009,128400
1990 and after,Number,Females,Total,Germany (until 1990 former territory of the FRG),2006,90590
1990 and after,Number,Females,Total,Denmark,2009,4663
1990 and after,Number,Females,Total,Denmark,2006,4999
1990 and after,Number,Females,Total,Estonia,2009,0
1990 and after,Number,Females,Total,Estonia,2006,731
1990 and after,Number,Females,Total,Spain,2009,36983
1990 and after,Number,Females,Total,Spain,2006,37974
1990 and after,Number,Females,Total,Finland,2009,7940
1990 and after,Number,Females,Total,Finland,2006,7547
1990 and after,Number,Females,Total,Italy,2009,0
1990 and after,Number,Females,Total,Italy,2006,20762
1990 and after,Number,Females,Total,Lithuania,2009,3036
1990 and after,Number,Females,Total,Lithuania,2006,2406
1990 and after,Number,Females,Total,Latvia,2009,1102
1990 and after,Number,Females,Total,Latvia,2006,834
1990 and after,Number,Females,Total,Malta,2009,110
1990 and after,Number,Females,Total,Malta,2006,0
1990 and after,Number,Females,Total,Netherlands,2009,13500
1990 and after,Number,Females,Total,Netherlands,2006,18000
1990 and after,Number,Females,Total,Portugal,2009,0
1990 and after,Number,Females,Total,Portugal,2006,4738
1990 and after,Number,Females,Total,Slovenia,2009,2271
1990 and after,Number,Females,Total,Slovenia,2006,0
1990 and after,Number,Females,Total,United States,2009,152900
1990 and after,Number,Females,Total,United States,2006,130200
1990 and after,Number,Females,Unknown,Belgium,2009,9
1990 and after,Number,Females,Unknown,Belgium,2006,0
1990 and after,Number,Females,Unknown,Germany (until 1990 former territory of the FRG),2009,0
1990 and after,Number,Females,Unknown,Germany (until 1990 former territory of the FRG),2006,0
1990 and after,Number,Females,Unknown,Estonia,2009,0
1990 and after,Number,Females,Unknown,Estonia,2006,0
1990 and after,Number,Females,Unknown,Italy,2009,0
1990 and after,Number,Females,Unknown,Italy,2006,1
1990 and after,Number,Females,From 35 to 44 years,Austria,2009,0
1990 and after,Number,Females,From 35 to 44 years,Austria,2006,4468
1990 and after,Number,Females,From 35 to 44 years,Belgium,2009,776
1990 and after,Number,Females,From 35 to 44 years,Belgium,2006,0
1990 and after,Number,Females,From 35 to 44 years,Bulgaria,2009,0
1990 and after,Number,Females,From 35 to 44 years,Bulgaria,2006,1029
1990 and after,Number,Females,From 35 to 44 years,Switzerland,2009,11587
1990 and after,Number,Females,From 35 to 44 years,Switzerland,2006,9921
1990 and after,Number,Females,From 35 to 44 years,Cyprus,2009,0
1990 and after,Number,Females,From 35 to 44 years,Cyprus,2006,168
1990 and after,Number,Females,From 35 to 44 years,Germany (until 1990 former territory of the FRG),2009,63860
1990 and after,Number,Females,From 35 to 44 years,Germany (until 1990 former territory of the FRG),2006,51230
1990 and after,Number,Females,From 35 to 44 years,Denmark,2009,2445
1990 and after,Number,Females,From 35 to 44 years,Denmark,2006,2764
1990 and after,Number,Females,From 35 to 44 years,Estonia,2009,0
1990 and after,Number,Females,From 35 to 44 years,Estonia,2006,282
1990 and after,Number,Females,From 35 to 44 years,Spain,2009,20211
1990 and after,Number,Females,From 35 to 44 years,Spain,2006,20404
1990 and after,Number,Females,From 35 to 44 years,Finland,2009,2941
1990 and after,Number,Females,From 35 to 44 years,Finland,2006,2613
1990 and after,Number,Females,From 35 to 44 years,Italy,2009,0
1990 and after,Number,Females,From 35 to 44 years,Italy,2006,10775
1990 and after,Number,Females,From 35 to 44 years,Lithuania,2009,1313
1990 and after,Number,Females,From 35 to 44 years,Lithuania,2006,966
1990 and after,Number,Females,From 35 to 44 years,Latvia,2009,370
1990 and after,Number,Females,From 35 to 44 years,Latvia,2006,251
1990 and after,Number,Females,From 35 to 44 years,Malta,2009,45
1990 and after,Number,Females,From 35 to 44 years,Malta,2006,0
1990 and after,Number,Females,From 35 to 44 years,Netherlands,2009,5500
1990 and after,Number,Females,From 35 to 44 years,Netherlands,2006,8000
1990 and after,Number,Females,From 35 to 44 years,Portugal,2009,0
1990 and after,Number,Females,From 35 to 44 years,Portugal,2006,2073
1990 and after,Number,Females,From 35 to 44 years,Slovenia,2009,941
1990 and after,Number,Females,From 35 to 44 years,Slovenia,2006,0
1990 and after,Number,Females,From 35 to 44 years,United States,2009,67500
1990 and after,Number,Females,From 35 to 44 years,United States,2006,62200
1990 and after,Number,Females,From 45 to 54 years,Austria,2009,0
1990 and after,Number,Females,From 45 to 54 years,Austria,2006,947
1990 and after,Number,Females,From 45 to 54 years,Belgium,2009,277
1990 and after,Number,Females,From 45 to 54 years,Belgium,2006,0
1990 and after,Number,Females,From 45 to 54 years,Bulgaria,2009,0
1990 and after,Number,Females,From 45 to 54 years,Bulgaria,2006,1238
1990 and after,Number,Females,From 45 to 54 years,Switzerland,2009,0
1990 and after,Number,Females,From 45 to 54 years,Switzerland,2006,0
1990 and after,Number,Females,From 45 to 54 years,Cyprus,2009,0
1990 and after,Number,Females,From 45 to 54 years,Cyprus,2006,88
1990 and after,Number,Females,From 45 to 54 years,Germany (until 1990 former territory of the FRG),2009,23830
1990 and after,Number,Females,From 45 to 54 years,Germany (until 1990 former territory of the FRG),2006,9410
1990 and after,Number,Females,From 45 to 54 years,Denmark,2009,1355
1990 and after,Number,Females,From 45 to 54 years,Denmark,2006,1161
1990 and after,Number,Females,From 45 to 54 years,Estonia,2009,0
1990 and after,Number,Females,From 45 to 54 years,Estonia,2006,234
1990 and after,Number,Females,From 45 to 54 years,Spain,2009,9783
1990 and after,Number,Females,From 45 to 54 years,Spain,2006,6117
1990 and after,Number,Females,From 45 to 54 years,Finland,2009,2532
1990 and after,Number,Females,From 45 to 54 years,Finland,2006,2254
1990 and after,Number,Females,From 45 to 54 years,Italy,2009,0
1990 and after,Number,Females,From 45 to 54 years,Italy,2006,2488
1990 and after,Number,Females,From 45 to 54 years,Lithuania,2009,898
1990 and after,Number,Females,From 45 to 54 years,Lithuania,2006,644
1990 and after,Number,Females,From 45 to 54 years,Latvia,2009,346
1990 and after,Number,Females,From 45 to 54 years,Latvia,2006,261
1990 and after,Number,Females,From 45 to 54 years,Malta,2009,43
1990 and after,Number,Females,From 45 to 54 years,Malta,2006,0
1990 and after,Number,Females,From 45 to 54 years,Netherlands,2009,3000
1990 and after,Number,Females,From 45 to 54 years,Netherlands,2006,3000
1990 and after,Number,Females,From 45 to 54 years,Portugal,2009,0
1990 and after,Number,Females,From 45 to 54 years,Portugal,2006,1586
1990 and after,Number,Females,From 45 to 54 years,Slovenia,2009,615
1990 and after,Number,Females,From 45 to 54 years,Slovenia,2006,0
1990 and after,Number,Females,From 45 to 54 years,United States,2009,37000
1990 and after,Number,Females,From 45 to 54 years,United States,2006,28100
1990 and after,Number,Females,From 55 to 64 years,Austria,2009,0
1990 and after,Number,Females,From 55 to 64 years,Austria,2006,225
1990 and after,Number,Females,From 55 to 64 years,Belgium,2009,52
1990 and after,Number,Females,From 55 to 64 years,Belgium,2006,0
1990 and after,Number,Females,From 55 to 64 years,Bulgaria,2009,0
1990 and after,Number,Females,From 55 to 64 years,Bulgaria,2006,478
1990 and after,Number,Females,From 55 to 64 years,Switzerland,2009,0
1990 and after,Number,Females,From 55 to 64 years,Switzerland,2006,0
1990 and after,Number,Females,From 55 to 64 years,Cyprus,2009,0
1990 and after,Number,Females,From 55 to 64 years,Cyprus,2006,36
1990 and after,Number,Females,From 55 to 64 years,Germany (until 1990 former territory of the FRG),2009,2630
1990 and after,Number,Females,From 55 to 64 years,Germany (until 1990 former territory of the FRG),2006,0
1990 and after,Number,Females,From 55 to 64 years,Denmark,2009,276
1990 and after,Number,Females,From 55 to 64 years,Denmark,2006,0
1990 and after,Number,Females,From 55 to 64 years,Estonia,2009,0
1990 and after,Number,Females,From 55 to 64 years,Estonia,2006,77
1990 and after,Number,Females,From 55 to 64 years,Spain,2009,2162
1990 and after,Number,Females,From 55 to 64 years,Spain,2006,1644
1990 and after,Number,Females,From 55 to 64 years,Finland,2009,1199
1990 and after,Number,Females,From 55 to 64 years,Finland,2006,1448
1990 and after,Number,Females,From 55 to 64 years,Italy,2009,0
1990 and after,Number,Females,From 55 to 64 years,Italy,2006,0
1990 and after,Number,Females,From 55 to 64 years,Lithuania,2009,274
1990 and after,Number,Females,From 55 to 64 years,Lithuania,2006,181
1990 and after,Number,Females,From 55 to 64 years,Latvia,2009,194
1990 and after,Number,Females,From 55 to 64 years,Latvia,2006,162
1990 and after,Number,Females,From 55 to 64 years,Malta,2009,13
1990 and after,Number,Females,From 55 to 64 years,Malta,2006,0
1990 and after,Number,Females,From 55 to 64 years,Netherlands,2009,700
1990 and after,Number,Females,From 55 to 64 years,Netherlands,2006,0
1990 and after,Number,Females,From 55 to 64 years,Portugal,2009,0
1990 and after,Number,Females,From 55 to 64 years,Portugal,2006,514
1990 and after,Number,Females,From 55 to 64 years,Slovenia,2009,240u
1990 and after,Number,Females,From 55 to 64 years,Slovenia,2006,0
1990 and after,Number,Females,From 55 to 64 years,United States,2009,14600
1990 and after,Number,Females,From 55 to 64 years,United States,2006,11100
1990 and after,Number,Females,From 65 to 69 years,Austria,2009,0
1990 and after,Number,Females,From 65 to 69 years,Austria,2006,99
1990 and after,Number,Females,From 65 to 69 years,Belgium,2009,5d
1990 and after,Number,Females,From 65 to 69 years,Belgium,2006,0
1990 and after,Number,Females,From 65 to 69 years,Bulgaria,2009,0
1990 and after,Number,Females,From 65 to 69 years,Bulgaria,2006,44
1990 and after,Number,Females,From 65 to 69 years,Switzerland,2009,0
1990 and after,Number,Females,From 65 to 69 years,Switzerland,2006,0
1990 and after,Number,Females,From 65 to 69 years,Cyprus,2009,0
1990 and after,Number,Females,From 65 to 69 years,Cyprus,2006,4
1990 and after,Number,Females,From 65 to 69 years,Germany (until 1990 former territory of the FRG),2009,710
1990 and after,Number,Females,From 65 to 69 years,Germany (until 1990 former territory of the FRG),2006,0
1990 and after,Number,Females,From 65 to 69 years,Denmark,2009,29
1990 and after,Number,Females,From 65 to 69 years,Denmark,2006,0
1990 and after,Number,Females,From 65 to 69 years,Estonia,2009,0
1990 and after,Number,Females,From 65 to 69 years,Estonia,2006,22
1990 and after,Number,Females,From 65 to 69 years,Spain,2009,326
1990 and after,Number,Females,From 65 to 69 years,Spain,2006,175
1990 and after,Number,Females,From 65 to 69 years,Finland,2009,152
1990 and after,Number,Females,From 65 to 69 years,Finland,2006,295
1990 and after,Number,Females,From 65 to 69 years,Italy,2009,0
1990 and after,Number,Females,From 65 to 69 years,Italy,2006,0
1990 and after,Number,Females,From 65 to 69 years,Lithuania,2009,26
1990 and after,Number,Females,From 65 to 69 years,Lithuania,2006,46
1990 and after,Number,Females,From 65 to 69 years,Latvia,2009,50
1990 and after,Number,Females,From 65 to 69 years,Latvia,2006,43
1990 and after,Number,Females,From 65 to 69 years,Malta,2009,1
1990 and after,Number,Females,From 65 to 69 years,Malta,2006,0
1990 and after,Number,Females,From 65 to 69 years,Netherlands,2009,100
1990 and after,Number,Females,From 65 to 69 years,Netherlands,2006,0
1990 and after,Number,Females,From 65 to 69 years,Portugal,2009,0
1990 and after,Number,Females,From 65 to 69 years,Portugal,2006,53
1990 and after,Number,Females,From 65 to 69 years,Slovenia,2009,32u
1990 and after,Number,Females,From 65 to 69 years,Slovenia,2006,0
1990 and after,Number,Females,From 65 to 69 years,United States,2009,2300
1990 and after,Number,Females,From 65 to 69 years,United States,2006,1300
1990 and after,Number,Females,55 years or over,Austria,2009,0
1990 and after,Number,Females,55 years or over,Austria,2006,324
1990 and after,Number,Females,55 years or over,Belgium,2009,57
1990 and after,Number,Females,55 years or over,Belgium,2006,0
1990 and after,Number,Females,55 years or over,Bulgaria,2009,0
1990 and after,Number,Females,55 years or over,Bulgaria,2006,522
1990 and after,Number,Females,55 years or over,Cyprus,2009,0
1990 and after,Number,Females,55 years or over,Cyprus,2006,40
1990 and after,Number,Females,55 years or over,Denmark,2009,374
1990 and after,Number,Females,55 years or over,Denmark,2006,320
1990 and after,Number,Females,55 years or over,Estonia,2009,0
1990 and after,Number,Females,55 years or over,Estonia,2006,99
1990 and after,Number,Females,55 years or over,Spain,2009,2488
1990 and after,Number,Females,55 years or over,Spain,2006,1819
1990 and after,Number,Females,55 years or over,Finland,2009,1351
1990 and after,Number,Females,55 years or over,Finland,2006,1743
1990 and after,Number,Females,55 years or over,Italy,2009,0
1990 and after,Number,Females,55 years or over,Italy,2006,0
1990 and after,Number,Females,55 years or over,Lithuania,2009,0
1990 and after,Number,Females,55 years or over,Lithuania,2006,227
1990 and after,Number,Females,55 years or over,Latvia,2009,244
1990 and after,Number,Females,55 years or over,Latvia,2006,205
1990 and after,Number,Females,55 years or over,Netherlands,2009,800
1990 and after,Number,Females,55 years or over,Netherlands,2006,0
1990 and after,Number,Females,55 years or over,Portugal,2009,0
1990 and after,Number,Females,55 years or over,Portugal,2006,567
1990 and after,Number,Females,55 years or over,United States,2009,16900
1990 and after,Number,Females,55 years or over,United States,2006,12400
1990 and after,Number,Females,Less than 35 years,Austria,2009,0
1990 and after,Number,Females,Less than 35 years,Austria,2006,3096
1990 and after,Number,Females,Less than 35 years,Belgium,2009,549
